AREA	PERIMETER	COUNTY	STATE	ID	CNTY_AREA	xaxis	yaxis
818.994	115.386	ST CROIX	Wisconsin	55109	739.3	1772.18749916000	1570.51734608000
798.604	122.398	CHESHIRE	New Hampshire	33005	720.9	2838.87360978000	1562.89334794000
769.352	140.698	BENNINGTON	Vermont	50003	694.5	2793.28132106000	1560.57372347000
882.178	133.528	WINDHAM	Vermont	50025	796.4	2813.70905812000	1562.12223938000
1987.737	182.630		South Dakota	46143	1776.4	1254.91913272000	1557.32143181000
520.918	112.021	ESSEX	Massachusetts	25009	470.2	2909.26438884000	1562.11492595000
1363.770	179.240	ONEIDA	New York	36065	1231.1	2668.68554063000	1547.86018836000
793.729	124.308	CODINGTON	South Dakota	46029	716.5	1528.84287346000	1564.13064779000
939.124	144.988	SARATOGA	New York	36091	847.8	2752.40356567000	1556.51218329000
1280.464	179.610	DEL NORTE	California	6015	1155.9	108.94038944100	1555.97887998000
188.675	61.875	RAMSEY	Minnesota	27123	170.3	1739.75939381000	1568.81331125000
634.944	128.365	CHIPPEWA	Minnesota	27023	573.2	1612.71996292000	1567.11345033000
1137.838	166.158	OSWEGO	New York	36075	1027.2	2629.69777539000	1553.63131944000
3772.384	248.734		South Dakota	46193	3371.3	1303.39952819000	1537.95543431000
1354.088	150.389	CLARK	Wisconsin	55019	1222.4	1868.90553371000	1552.41861563000
369.199	76.593	BENZIE	Michigan	26019	333.3	2106.91845063000	1563.36450753000
624.357	103.473	IOSCO	Michigan	26069	563.6	2231.55667684000	1556.60704364000
610.569	98.880	OGEMAW	Michigan	26129	551.2	2206.69670760000	1552.15625193000
411.664	92.872	CARVER	Minnesota	27019	371.6	1703.54215121000	1553.62243478000
879.753	173.079	STANLEY	South Dakota	46117	794.2	1341.54888798000	1544.43797656000
6816.354	453.192	SISKIYOU	California	6093	6153.3	171.47214422700	1522.16315691000
546.653	99.769	MCLEOD	Minnesota	27085	493.5	1679.36439429000	1553.10404255000
727.687	109.242	DEUEL	South Dakota	46039	656.9	1556.07864464000	1548.13133777000
2657.991	263.935	LAWRENCE	South Dakota	46081	2399.4	1209.96486554000	1535.22657183000
593.970	109.465	FULTON	New York	36035	536.2	2723.42702446000	1550.12611253000
1183.023	159.466	SULLY	South Dakota	46119	1067.9	1376.04790655000	1549.69539838000
634.522	100.703	ROSCOMMON	Michigan	26143	572.8	2181.98504997000	1549.19754274000
959.445	198.500	MIDDLESEX	Massachusetts	25017	866.1	2891.21253670000	1543.61201820000
648.124	118.138	DAKOTA	Minnesota	27037	585.1	1741.77097585000	1543.72405968000
970.145	139.632	HYDE	South Dakota	46069	867.0	1409.17558481000	1536.14015310000
1582.056	164.429	HAND	South Dakota	46059	1428.2	1434.24897713000	1535.15804711000
625.042	99.819	MISSAUKEE	Michigan	26113	564.2	2156.95186250000	1546.59879780000
714.062	113.062	EAU CLAIRE	Wisconsin	55035	644.6	1833.92154188000	1550.09198026000
845.775	164.296	YELLOW MEDICINE	Minnesota	27173	763.5	1597.50287030000	1545.29138265000
375.398	84.164	KEWAUNEE	Wisconsin	55061	338.9	2024.78383724000	1546.17642739000
